link_id,u,v,link_flow
0,250720872,250720873,66
1,250720873,250720874,14
2,250720872,250663746,36
3,250720873,95663389,5
4,250720871,250720872,173
5,7214467394,1003481221,11
6,250720871,7214467394,22
7,250714051,262236447,120
8,262236447,250720871,156
9,7214467394,363357735,239
10,250700248,250714051,71
11,363357735,250714051,9
12,262236447,95663423,15
13,363357735,250700142,63
14,358465410,635122963,21
15,635122963,635122964,16
16,97788471,358465410,8
17,635122963,635122988,13
18,95663394,635126483,6
19,635126483,97788471,6
20,97788471,358465939,259
21,95663631,95663394,8
22,97788477,97788471,267
23,95663394,97788216,112
24,97788216,97788210,122
25,97788210,97797184,58
26,597677303,97788202,8
27,97788202,97788210,10
28,97788210,97797102,93
29,97797102,6694885344,114
30,6694885344,515962403,114
31,515962403,5921003579,0
32,5921003579,5581434217,0
33,5581434217,8207556731,0
34,8207556731,6943632782,0
35,6943632782,358466006,0
36,961530806,597677303,7
37,95663402,961530806,10
38,97797098,97797102,6
39,358465904,95663394,99
40,250714944,635122964,13
41,635122964,358465186,20
42,358465186,6910572379,14
43,6910572379,5581434215,245
44,5581434215,97788477,253
45,97788477,97788216,9
46,97788216,597677303,8
47,597677303,961530639,8
48,961530639,97788213,21
49,97788213,97788195,14
50,97788195,97788192,4
51,97788192,516020524,6
52,516020524,250714052,13
53,250714052,250714050,24
54,250714050,250714051,4
55,250714051,250700142,7
56,250700142,250700344,71
57,250700344,250691664,16
58,250691664,250691665,2
59,250691665,6376633339,5
60,3731648988,250713539,22
61,250713539,250700085,15
62,250700085,250700084,17
63,250700084,250700083,47
64,97788594,3731648988,9
65,250714052,3731648988,41
66,388172083,250700085,3
67,6694885344,358464213,5
68,358464213,358464212,49
69,358464212,358464177,10
70,358464177,516020362,196
71,516020362,8207556731,0
72,97797184,97797196,25
73,97797196,97797098,27
74,97797098,358464213,52
75,358464177,2878357812,6
76,2878357812,516020349,6
77,516020349,358465943,6
78,358464212,358464049,164
79,358464049,358464040,171
80,358464040,358464027,189
81,358464027,358464018,189
82,358464018,358464012,202
83,358464012,635444052,183
84,515962403,4056070360,115
85,4056070360,358464212,124
86,5581434215,5921003579,7
87,5921003579,4056070360,7
88,358464012,250713331,11
89,250691665,250691666,13
90,250691666,250709582,84
91,250709582,250691668,141
92,250691668,250691669,47
93,250691669,250691670,49
94,250691670,42240105,8
95,42240105,250691272,1278
96,250691664,250702474,22
97,250691670,250691723,41
98,95663420,250714052,77
99,250709582,4606062936,1
100,300398465,95663420,121
101,250700084,388172051,57
102,388172051,388172082,4
103,388172082,250700339,3
104,250700339,364104830,37
105,3731648988,250714050,19
106,95663423,95663422,33
107,95663422,95663420,34
108,516020524,962356679,68
109,962356679,95663426,70
110,250691723,250691724,12
111,250691724,250698924,15
112,250698924,250698926,14
113,97788213,95663402,16
114,97788192,6356544246,39
115,6356544246,6356544245,33
116,95663420,962356679,16
117,962356679,95663454,15
118,95663454,95663467,12
119,95663467,95663392,4
120,95663392,95663402,10
121,962356674,95663392,13
122,97788195,95663467,56
123,95663392,95663400,6
124,95663400,95663631,8
125,97788586,97788195,50
126,97788195,97788202,0
127,961530806,961530639,10
128,2878357812,961484809,3
129,250714050,95663422,42
130,95663467,962356840,39
131,962356840,962356674,0
132,95663426,688786344,58
133,688786344,962356785,56
134,962356785,962356657,86
135,962356657,31179466,58
136,31179466,97834761,58
137,97834761,8253823131,58
138,8253823131,95663527,58
139,95663527,95663418,58
140,95663418,844627879,59
141,844627879,95663375,57
142,95663375,6693568141,71
143,95663454,97788192,24
144,6356544246,97788594,7
145,95663422,95663385,34
146,250691723,250691755,73
147,250691755,250692359,50
148,250692359,250691739,37
149,250691739,250691794,95
150,250691794,250691793,98
151,250691793,6220792260,34
152,6220792260,6220792258,34
153,962356840,95663464,27
154,95663464,95663463,15
155,95663463,95663472,27
156,95663472,635132981,58
157,95663464,95663461,10
158,95663461,3879024939,6
159,3879024939,3879024943,6
160,3879024943,962356657,6
161,95663461,95663433,1
162,95663433,95663426,5
163,95663426,300398465,15
164,300398465,95663385,9
165,95663385,95663376,5
166,95663400,95663398,21
167,95663385,95663386,4
168,250707871,250700343,3
169,95663631,95663529,0
170,358465186,358465410,6
171,6943632782,961484809,0
172,358465410,358465167,22
173,95663402,95663400,19
174,95663386,250720871,15
175,1003481221,7214467394,85
176,97846098,97846091,121
177,97846091,8426856005,127
178,250698926,250699982,72
179,250699982,250699983,43
180,250699983,250699984,31
181,250699984,250699362,27
182,250699982,250691665,16
183,250699983,250702474,37
184,250702474,250700248,38
185,250700248,250700343,131
186,6693647611,250691664,9
187,262652281,250691666,87
188,97788686,97788594,117
189,97788594,516020524,139
190,95663386,95663423,30
191,962356657,95663472,34
192,97797051,97797090,56
193,97797090,97797197,6
194,250691755,300401360,69
195,300401360,250691753,68
196,250691753,250691752,42
197,516020362,5581434217,229
198,5581434217,6910572379,228
199,516020343,516020349,0
200,358464027,358464159,4
201,358464159,97797081,7
202,97797081,97797051,47
203,97797090,97797093,47
204,97797093,97797098,28
205,516020343,358464177,155
206,625958232,516020343,107
207,358464166,358464040,27
208,358464040,625958232,26
209,358464361,631608665,2
210,631608665,625958232,30
211,358464049,358464174,1
212,358464174,97797093,1
213,97797093,97797186,19
214,97797186,97797191,16
215,358464213,358464174,9
216,358464174,358464166,10
217,631608665,358464012,0
218,97797051,358464166,22
219,358464166,358464159,5
220,97788219,97797051,32
221,97797086,97797081,43
222,97797081,97788769,2
223,95663433,95663454,14
224,250699984,250708099,1
225,250708099,250708051,46
226,250699613,250699359,36
227,250699359,250691795,12
228,250699614,250699613,44
229,250699359,8446047162,24
230,599116897,250699613,44
231,250699362,599116897,44
232,250699362,250708641,49
233,250708641,250708556,43
234,250700083,250699362,68
235,250699613,250699612,50
236,250699612,250698926,64
237,388172056,250700083,28
238,250699614,250699711,17
239,250699711,250699973,2
240,8446047162,250699972,326
241,250699612,250709162,0
242,250709162,250699359,0
243,250699615,250699614,36
244,300398465,962356671,4
245,844627879,95663418,63
246,95663418,95663527,71
247,95663527,8253823131,69
248,8253823131,962356923,71
249,962356923,962356785,52
250,962356785,962356738,22
251,962356738,3879024943,24
252,3879024943,3879024939,23
253,3879024939,95663461,10
254,95663461,95663464,11
255,95663464,962356674,11
256,635132991,95663474,13
257,95663474,95663499,6
258,95663499,95663501,12
259,95663501,95663502,2
260,95663502,95663504,0
261,95663504,6693568141,9
262,3879024939,95663433,14
263,95663375,844627879,56
264,633562897,633562896,3
265,633562896,97834824,16
266,97834824,97834834,11
267,97834834,95663474,30
268,97834824,97834765,15
269,97834765,95663524,11
270,95663524,98303817,0
271,98303817,95663502,0
272,95663502,95663418,4
273,95663375,95663504,9
274,95663474,962356740,39
275,962356740,31179466,39
276,31179466,962356923,39
277,97834829,97834834,19
278,962356923,962356608,60
279,962356608,300398465,58
280,6693568141,95663375,52
281,95663501,95663524,10
282,95663524,633562897,21
283,633562897,7248584892,108
284,95663389,95663493,3
285,95663493,95663375,27
286,635132981,635132991,0
287,95663493,844627879,8
288,962356671,95663492,5
289,95663492,95663376,6
290,962356608,962356671,1
291,97834909,633562896,15
292,250708641,250706958,14
293,250706958,388172075,13
294,97788686,663798587,37
295,663798587,250713539,0
296,8446047162,250699614,25
297,95663527,95663492,4
298,250699711,250708641,17
299,300400248,8446047162,24
300,250706958,388172056,32
301,388172075,4464395361,0
302,4464395361,388172075,0
303,388172075,250700339,1
304,364104830,364104856,34
305,250700339,250706959,143
306,95663398,95663463,21
307,95663463,95663461,5
308,250702474,250699983,23
309,364104825,250706958,52
310,635126478,635126483,0
311,250691753,300400471,12
312,599116897,250699711,4
313,250700085,250707871,0
314,97834829,97834824,0
315,95663376,95663377,2
316,250706414,250691670,42
317,250691847,2511789008,28
318,2511789008,250691827,27
319,250691827,3339821648,42
320,3339821648,250691794,0
321,3339821648,250691723,42
322,250691724,250691669,2
323,250709255,250691795,51
324,250691795,300400470,51
325,300400470,250691755,45
326,250692359,300401271,15
327,300401271,300401174,13
328,954712407,250691827,17
329,300400470,653971685,12
330,653971685,250691724,39
331,653971690,250698924,28
332,300400471,300400470,107
333,7384331753,42240105,1447
334,300401270,250691739,0
335,250691795,250692406,3
336,954712407,2511789008,804
337,2511789008,7384331753,894
338,95663490,97834829,1
339,250691741,300401270,0
340,250691795,250709255,1
341,250709255,653971690,6
342,388172056,388172055,7
343,250691847,954712407,235
344,954712428,7384331753,209
345,250691793,250692062,65
346,954712428,250691847,235
347,954712407,6220792258,576
348,6220792258,954712407,351
349,388172055,388172051,3
350,250691668,807999510,0
351,300400471,250692406,0
352,250692406,300400248,16
353,250700344,250700248,63
354,250708522,364104825,24
355,364104825,364104830,0
356,250700083,250708099,45
357,653971685,653971690,9
358,962356740,97834761,0
359,97797186,97797196,2
360,250708051,250700341,3
361,95663376,95663493,27
362,95663492,95663418,4
363,95663377,250720872,2
364,300401174,250691753,12
365,250700341,250707871,6
366,663798587,250706960,37
367,300401271,300401270,1
368,250691668,250698924,95
369,688786344,962356738,2
370,635122987,635122988,1
371,97797086,358464018,17
372,7214467394,97846089,0
373,633562896,633562897,0
374,250700343,250708051,3
375,250700341,250700084,55
376,250713331,97797086,2
377,300401270,250692062,1
378,635126483,635126478,0
379,97788574,97788586,0
380,250709162,250709255,0
381,97834765,95663499,4
382,300400247,300400248,3
383,388172082,388172083,0
384,250706959,388172083,1
385,7248584892,97835127,6
386,250663746,7214467399,0
387,250706960,97788324,0
388,97797196,97797186,2
389,97835127,97834909,5
390,97846091,97846073,0
391,6693568141,31179468,1
392,300401360,300401271,0
393,364104830,250712701,0
394,250706960,97788686,0
395,97834909,97839355,1
396,97839355,97839360,1
397,250712701,250706959,1
398,250691741,300401174,0
399,97797191,97797197,0
400,97797197,97788219,0
401,97797184,97797191,0
