fleet_size_limit,actual_fleet,avi_count,uav_count,total_cost,covered
0,0,127,0,127.0,7590
1,1,115,3,122.0,7590
2,2,98,6,112.0,7590
3,3,95,9,116.0,7590
4,4,83,12,111.0,7590
5,5,70,15,105.0,7590
6,6,63,18,105.0,7590
7,7,60,21,109.0,7590
8,8,48,24,104.0,7590
9,9,41,27,104.0,7590
10,10,39,30,109.0,7590
11,11,29,33,106.0,7590
12,12,23,36,107.0,7590
13,13,17,39,108.0,7590
14,14,13,42,111.0,7590
15,15,7,45,112.0,7590
16,16,5,48,117.0,7590
17,17,2,51,121.0,7590
18,18,0,53,126.0,7590
19,18,0,53,126.0,7590
20,18,0,53,126.0,7590
